Treatment,Treat,Id,Latitude,Longitude,ACa_KgHa,AK_KgHa,AMg_KgHa,AMo_KgHa,ANa_KgHa,AP_KgHa,AS_KgHa,B,BpH,BulkDens,Ca,CEC,Clay,Cu,Elevation,Fe,K,Loam,Mg,Mn,Mo,Na,OM,OrganicC,OrgC_Clay,OrgC_THa,P,PAWater,pH,S,Sand,Silt,TCa,TCa-TMg_KH,TCa_KgHa,TK,TK_KgHa,TMg,TMg_KgHa,TMo,TMo_KgHa,TNa,TNa_KgHa,TP,TP_KgHa,TS,TS_KgHa,Zn,UKText
Conventional,CON,1267,52.9156366,-2.606080913,5808.964384,338.4990174,422.8139839,0.1521042,89.71299312,77.82090003,74.43426279,1.211432797,6.950474935,1.381287481,2003.463845,13.88151217,21.82852429,5.844115465,340.1269029,962.4905958,135.579813,81.10006522,123.0805651,39.35981653,0.0734118,32.12107855,2.779231493,1.610105087,0.073761518,33.36026999,16.39441126,89.4377597,6.261041666,14.3700258,18.89993478,59.27154093,2055.420388,0.502537643,4258.689675,3815.025421,7904.470281,4090.082436,8474.369498,0.567996601,1.176849892,167.2021479,346.4313505,489.5667211,1014.348575,251.1713322,520.4097252,6.631075202,SiClLo
Conventional,CON,1268,52.91563643,-2.606028863,5833.225589,336.7856853,421.5950211,0.151546536,89.16450687,76.48998314,74.15392182,1.208009784,6.959371156,1.382451655,2010.137154,13.93356094,21.41938726,5.958737553,340.526327,981.2676626,134.779973,80.56163691,122.6223783,38.86407125,0.073081054,31.89781301,2.835816515,1.642757588,0.076694892,34.06549421,16.10045925,89.06908646,6.27517341,14.30384858,19.43836309,59.14224966,2069.40965,0.508570168,4291.288195,3769.49158,7816.709811,4069.074006,8437.947143,0.574164413,1.190631816,169.2008099,350.8679096,485.5674166,1006.910218,249.5675384,517.5225849,6.613932359,SiClLo
Conventional,CON,1269,52.91563625,-2.605976812,5858.13632,338.3919507,419.9371953,0.150996024,88.31420259,75.42334086,73.7921338,1.210860132,6.96617612,1.382214774,2019.067388,13.97337447,21.1058709,6.046415136,340.9256345,1006.39517,135.446001,80.14904636,122.1611261,38.33309553,0.072828057,31.59903864,2.911538702,1.686453229,0.079904461,34.96560854,15.87866135,88.88366246,6.285983169,14.23650124,19.85095364,59.04317546,2088.130108,0.515851973,4329.366429,3807.40768,7893.982719,4047.925021,8392.652652,0.578882342,1.200209589,171.8754233,356.3531242,482.5082388,1000.395024,248.3407524,514.8903856,6.596674824,SiClLo
Conventional,CON,1270,52.91563608,-2.605924762,5881.358902,342.4621452,418.0698315,0.150496764,87.29882052,74.65751498,73.3902844,1.218398002,6.970770249,1.380883113,2029.026108,14.00025317,20.89351326,6.105607547,341.3245704,1034.416583,137.2073411,79.86958164,121.7351865,37.81667078,0.072657255,31.26585477,2.995981725,1.735181246,0.083048802,35.94123721,15.73259139,88.85752682,6.293280995,14.17262788,20.13041836,58.97606838,2109.00658,0.523535178,4368.437356,3907.678454,8094.070781,4028.395166,8344.114285,0.582067484,1.20565074,174.8580689,362.1878318,480.4429434,995.1533208,247.5125314,512.6788123,6.580738496,ClLo
Conventional,CON,1271,52.91563591,-2.605872712,5901.12307,347.7471907,416.2358564,0.150083804,86.27445963,74.17626698,72.99607214,1.228295461,6.973401659,1.37895072,2038.697533,14.01564865,20.76842897,6.139511563,341.7226976,1061.62962,139.5200355,79.7049695,121.3710078,37.35505153,0.072559424,30.94228276,3.077988691,1.782503532,0.085827558,36.86976794,15.65308267,88.93893558,6.297461017,14.11625445,20.2950305,58.93654054,2129.280796,0.530768084,4404.259931,4039.337112,8355.070231,4011.697122,8297.898955,0.583891859,1.207737149,177.7546695,367.6723944,479.2599909,991.3138645,247.038146,510.980144,6.567112921,ClLo
Conventional,CON,1272,52.91563574,-2.605820662,5916.263806,353.2154767,414.6722886,0.149775629,85.36400219,73.94185705,72.64143881,1.238612996,6.974427931,1.376843255,2047.056836,14.02165302,20.71582469,6.152734421,342.1194989,1085.150665,141.9308872,79.63574176,121.1001628,36.99164027,0.072521269,30.66260975,3.148869775,1.823405605,0.088019938,37.65815561,15.62749988,89.08235109,6.299091262,14.0691762,20.36425824,58.91991708,2146.80441,0.536797921,4433.719756,4176.583728,8625.751701,3999.278544,8259.569531,0.58460338,1.207360832,180.2582885,372.2811129,478.7986292,988.8459946,246.8531316,509.8171036,6.556979383,ClLo
Conventional,CON,1273,52.91563556,-2.605768611,5926.846123,358.1698569,413.4879343,0.149568254,84.62750941,73.89170254,72.33588749,1.248016511,6.974334065,1.374870752,2053.6605,14.02110384,20.71372011,6.15152502,342.5144533,1103.731767,144.1281639,79.63297212,120.9275301,36.73629882,0.072524758,30.44167431,3.204864253,1.855717332,0.0895888,38.27057226,15.63930508,89.24756488,6.298942155,14.03009698,20.36702789,58.91925201,2160.647675,0.541330771,4455.916941,4301.671807,8871.364132,3991.36312,8231.412623,0.584538303,1.205496924,182.2360917,375.8266087,478.8408267,987.5163716,246.8700535,509.1216243,6.55052041,ClLo
Conventional,CON,1274,52.91563539,-2.605716561,5933.866215,362.2657297,412.6373439,0.14944434,84.06751806,73.96008651,72.07547976,1.255826444,6.973587278,1.373206006,2058.585586,14.01673465,20.73723692,6.141903153,342.9070026,1117.58976,145.9530757,79.66392047,120.8250684,36.55978384,0.072552523,30.27689818,3.246625562,1.879815779,0.090649289,38.72061477,15.67275584,89.40379715,6.297755876,13.99653646,20.33607953,58.92668355,2170.972136,0.544558439,4471.787965,4405.561639,9074.615555,3986.665126,8211.768743,0.58402055,1.202970791,183.7111594,378.4099013,479.1765454,987.0121652,247.0046828,508.782471,6.546686855,ClLo
Conventional,CON,1275,52.91563522,-2.605664511,5938.490605,365.5822692,412.001185,0.149381945,83.64428444,74.10333031,71.8516481,1.262173318,6.972457254,1.371838295,2062.243878,14.01012326,20.77188982,6.127343519,343.2965415,1127.883305,147.436121,79.70952403,120.7590695,36.42547307,0.072594535,30.15450453,3.27764534,1.897715805,0.091359805,39.0503882,15.71876626,89.54246004,6.29596082,13.96698107,20.29047598,58.9376342,2178.641018,0.546897202,4483.114768,4489.98946,9239.309227,3983.638993,8197.362785,0.583237097,1.200160476,184.8068213,380.287612,479.6845488,987.0744502,247.2084014,508.6949277,6.544217536,ClLo
Conventional,CON,1276,52.91563505,-2.605612461,5941.726882,368.5166441,411.4366383,0.149359137,83.29446525,74.30219008,71.65532155,1.267806162,6.971010961,1.370613633,2065.211378,14.00166149,20.81525369,6.108708955,343.6824138,1136.233127,148.7523222,79.76659129,120.7013507,36.30247544,0.072648306,30.05522238,3.302807676,1.912235782,0.091867042,39.31404649,15.77503092,89.67501432,6.293663367,13.94126345,20.23340871,58.9513376,2184.86179,0.548823385,4491.902034,4564.919063,9385.110455,3980.992517,8184.603927,0.582234371,1.19702755,185.6955902,381.7753614,480.3347314,987.5299972,247.4691365,508.7768584,6.542058016,ClLo
Conventional,CON,1320,52.91560927,-2.607330404,5939.089051,384.5207762,424.3333034,0.144689251,81.98499428,66.48235269,65.3864661,1.298841094,7.022451158,1.363657959,2074.823971,14.30262061,21.35841232,6.771482848,330.8311009,1163.280624,156.0041145,80.48139331,125.1197539,39.89018383,0.070735847,29.7336187,3.384315784,1.9592702,0.091732951,40.07661604,14.18680437,90.63434067,6.375376684,12.78648421,19.51860669,59.12298099,2205.012675,0.527063364,4510.324627,4977.754072,10181.93094,4183.581762,8557.461851,0.617898219,1.263902737,188.5745705,385.7268209,457.2097418,935.2165551,238.1955951,487.2259786,6.707370491,SiClLo
Conventional,CON,1321,52.9156091,-2.607278354,5937.581025,384.6581487,423.5896384,0.14492729,82.01825062,66.96991698,65.6725407,1.299117099,7.019214073,1.363581424,2074.413567,14.28368153,21.38563621,6.729775091,331.1497871,1162.125846,156.0686072,80.51722021,124.9074857,39.71867507,0.070856196,29.74734938,3.380835843,1.957262093,0.091522276,40.0332935,14.29164882,90.65972774,6.37023454,12.84314762,19.48277979,59.131584,2204.152345,0.528086268,4508.311791,4981.42556,10188.86904,4173.849005,8537.074458,0.615653926,1.259241385,188.4516541,385.4537624,458.6649763,938.1405627,238.7791706,488.3922624,6.699428578,SiClLo
Conventional,CON,1322,52.91560893,-2.607226303,5936.854718,382.9902333,422.7139523,0.145217294,82.18498614,67.42720776,65.9840372,1.295872471,7.016401116,1.364296346,2073.072911,14.26722387,21.34400893,6.693531945,331.4624276,1158.353567,155.3104497,80.46243831,124.5839457,39.42807001,0.070960777,29.79220303,3.369468013,1.950702264,0.091393434,39.92003956,14.38169622,90.57084235,6.365766126,12.89730292,19.53756169,59.11842938,2201.341927,0.529294148,4504.924121,4938.264646,10105.88462,4159.014296,8511.192011,0.613703683,1.255910538,188.0501264,384.8341506,459.9295439,941.2202943,239.2862852,489.6861068,6.687323481,SiClLo
Conventional,CON,1323,52.91560876,-2.607174253,5935.339665,379.5107747,421.8296241,0.145594955,82.5323861,67.93191378,66.34105093,1.28911577,7.013523993,1.36578563,2070.283925,14.2503908,21.25719526,6.656462067,331.7763421,1150.50604,153.7316419,80.34819068,124.187748,39.05942756,0.071067744,29.88551272,3.345819352,1.937055756,0.09112471,39.68404374,14.47354656,90.38564873,6.361195786,12.95294557,19.65180932,59.09099542,2195.495374,0.530204272,4497.864048,4848.385195,9932.782238,4140.848142,8483.266329,0.611708954,1.253194947,187.2148227,383.5429718,461.2229572,944.8975304,239.8049674,491.2832676,6.67249993,SiClLo
Conventional,CON,1337,52.91560634,-2.60644555,5767.070826,384.2146259,417.6221667,0.154028175,87.0573188,85.30599511,74.02277627,1.299461844,6.896149115,1.361306533,2018.209414,13.56367024,23.9345453,5.144162167,337.2628039,1003.981038,156.1491622,83.87160926,123.3535999,39.114413,0.075431541,31.62774346,2.904263673,1.682255159,0.070285654,34.35097408,18.23506335,92.58440028,6.174744504,14.50033958,16.12839074,59.93706396,2086.331535,0.508538686,4260.205125,4986.011447,10181.23494,4102.601417,8377.347169,0.530332131,1.082916891,171.6184592,350.4379946,513.9889455,1049.544764,260.9650883,532.8802195,6.641290669,SiClLo
Conventional,CON,1338,52.91560617,-2.6063935,5763.45997,385.103668,419.0996769,0.153903441,87.08594459,85.0765817,74.20159331,1.301223557,6.897140172,1.360868868,2017.594444,13.56946859,24.01778957,5.156931311,337.680357,1002.250663,156.5608138,83.98115953,123.8298257,39.72005222,0.075394695,31.6483182,2.899049157,1.679246112,0.069916763,34.27850634,18.19187254,92.678307,6.176318811,14.54004277,16.01884047,59.96336996,2085.042374,0.50553382,4256.203884,5009.446231,10225.79914,4124.43696,8419.226789,0.531019238,1.083971324,171.4342752,349.9493521,513.5434145,1048.297868,260.7864223,532.3441851,6.659108435,SiClLo
Conventional,CON,1339,52.915606,-2.606341449,5760.875882,382.5398616,420.7228178,0.15372699,87.37682542,84.5061286,74.33330386,1.296256872,6.901005339,1.361904386,2015.156461,13.59208236,23.97149024,5.206731499,338.0922236,995.3907724,155.400271,83.92022916,124.214891,40.22588056,0.075250995,31.72988457,2.878376756,1.667317061,0.069554168,34.06089627,18.05615356,92.55535943,6.18245867,14.5547768,16.07977084,59.94873892,2079.931628,0.50214512,4249.002011,4943.378059,10098.61239,4142.092683,8461.701287,0.533698985,1.090270482,170.7040971,348.7239877,511.8058252,1045.545897,260.0896174,531.3257859,6.673515474,SiClLo
Conventional,CON,1340,52.91560583,-2.606289399,5760.889622,376.998621,422.2524523,0.153488871,87.84415377,83.603073,74.409467,1.285502337,6.907596923,1.364237628,2011.714758,13.63064748,23.78826624,5.291659824,338.4990366,985.7066563,152.8873073,83.67910461,124.453287,40.56827509,0.075005931,31.84503191,2.849193501,1.650476805,0.069381971,33.77463841,17.83264931,92.22668511,6.192929474,14.54477148,16.32089539,59.89083836,2072.716783,0.499086224,4241.517339,4800.318336,9823.162347,4153.023431,8498.566249,0.538268976,1.101490186,169.6733037,347.212058,508.8425723,1041.273276,258.9012991,529.8043411,6.682434946,SiClLo
Conventional,CON,1341,52.91560565,-2.606237349,5765.194826,369.5398561,423.4669222,0.153170924,88.3497225,82.39823341,74.41718945,1.271049938,6.916507738,1.367451471,2008.486591,13.68278164,23.47895941,5.406469952,338.9019808,976.6233823,149.5102806,83.27205382,124.5178991,40.71405553,0.074674642,31.95303504,2.821820894,1.634681387,0.069623247,33.53021201,17.53434832,91.7375165,6.207084401,14.51209368,16.72794618,59.79309441,2065.949575,0.497102153,4237.628679,4608.068641,9451.965364,4155.985975,8524.663704,0.544446906,1.116757085,168.706465,346.0468557,504.8367069,1035.509546,257.2948742,527.7573814,6.684852377,SiClLo
Conventional,CON,1342,52.91560548,-2.606185299,5774.813249,361.6495807,424.1902103,0.15276561,88.73942192,80.97463374,74.34850865,1.255794078,6.926922325,1.370941466,2006.715952,13.74371385,23.07853422,5.540655218,339.3024584,971.6412336,145.945513,82.74509039,124.4130519,40.66387994,0.074287446,32.01227444,2.806807101,1.626017647,0.070455846,33.43762527,17.18754038,91.1655117,6.223628087,14.46179101,17.25490961,59.66655617,2062.237782,0.49678368,4240.810934,4405.131101,9058.765337,4151.178602,8536.534321,0.551667413,1.134455597,168.1761569,345.8395007,500.1548193,1028.524472,255.4173521,525.2433589,6.680929569,SiClLo
Conventional,CON,1343,52.91560531,-2.606133249,5789.689816,354.9069475,424.3154281,0.152284401,88.88228914,79.46476217,74.20326615,1.242764441,6.937716131,1.374045517,2007.340508,13.80686474,22.64004764,5.679726473,339.7018101,973.3985833,142.9009367,82.16803781,124.1686382,40.44582203,0.073886151,31.99137897,2.812102906,1.629073602,0.071955396,33.57631919,16.82895388,90.60434653,6.240774166,14.40093316,17.83196219,59.52799017,2063.54704,0.498444693,4253.11134,4231.807373,8722.043923,4139.971935,8532.764816,0.559150834,1.152448044,168.3632121,347.0080752,495.3024536,1020.852174,253.4714652,522.4219957,6.671784947,SiClLo
Conventional,CON,1344,52.91560514,-2.606081198,5809.01009,350.5877012,423.7942692,0.151750771,88.69383346,78.00987532,73.98420223,1.234370979,6.947796657,1.376211262,2010.869536,13.86584248,22.21638756,5.809607567,340.1010974,983.3284093,140.9396743,81.61049703,123.8209658,40.09454573,0.073511374,31.87331005,2.842026611,1.646341137,0.074104808,33.98569819,16.4948408,90.13657687,6.256787191,14.33582267,18.38950297,59.39410948,2070.944945,0.502165256,4275.086632,4120.155279,8505.306141,4124.030722,8513.306283,0.566139732,1.168691813,169.4201592,349.7368965,490.7707437,1013.106337,251.6541672,519.4939483,6.658776945,SiClLo
Conventional,CON,1345,52.91560496,-2.606029148,5831.015301,349.369214,422.6717627,0.151201985,88.16563947,76.74300426,73.70162483,1.231880613,6.956238629,1.377114,2017.163769,13.91523359,21.85373633,5.918376955,340.5009488,1001.038849,140.3577616,81.13324451,123.4120472,39.65221335,0.073197516,31.66272707,2.895397334,1.67713882,0.076743802,34.64417023,16.21632931,89.81943651,6.270197357,14.27170636,18.86675549,59.27950818,2084.13955,0.507672775,4305.146627,4087.027757,8442.454711,4105.281299,8480.160523,0.571992611,1.181548547,171.3052877,353.8603648,486.9756471,1005.931472,250.1322644,516.6909646,6.643477448,SiClLo
Conventional,CON,1346,52.91560479,-2.605977098,5853.322103,351.1569071,421.1115717,0.150681373,87.37155697,75.75715337,73.37631585,1.235118699,6.962483128,1.376738967,2025.432107,13.95176803,21.58231902,5.99883331,340.9015913,1024.303939,141.1143905,80.7760567,122.9899954,39.17156536,0.072965356,31.38609745,2.965507094,1.717595799,0.079583468,35.470216,16.01237285,89.67257798,6.280116811,14.21258352,19.2239433,59.19373768,2101.472473,0.514319292,4339.768563,4130.101647,8529.107814,4085.929705,8437.887964,0.576321965,1.190167361,173.7816624,358.8779796,484.1684267,999.8603098,249.006518,514.2254647,6.627686581,SiClLo
Conventional,CON,1347,52.91560462,-2.605925048,5873.736819,355.072189,419.3363966,0.150232669,86.44714282,75.08715599,73.03986224,1.242442333,6.966436258,1.375409685,2034.460567,13.97489645,21.40522386,6.049766849,341.3029218,1049.707829,142.8256711,80.54299776,122.5899013,38.69548093,0.072818385,31.0840368,3.042062164,1.761772057,0.082305706,36.34737525,15.88609769,89.66918425,6.286396402,14.16108728,19.45700225,59.13777389,2120.398841,0.521291846,4374.625654,4227.522602,8721.863298,4067.584895,8391.893491,0.579062698,1.194672664,176.4856944,364.1102001,482.3912934,995.2284857,248.2938552,512.2586599,6.612717248,SiClLo
Conventional,CON,1348,52.91560445,-2.605872998,5890.697416,359.8512717,417.5836882,0.149888188,85.54471425,74.71155674,72.72354452,1.25146971,6.968402415,1.373634813,2042.97145,13.98639977,21.30514952,6.075099527,341.7045991,1073.655383,144.9350574,80.41129895,122.2352462,38.25637257,0.072745287,30.79929246,3.114228539,1.803415809,0.084646945,37.15852107,15.82705635,89.75398457,6.289519665,14.11797737,19.58870105,59.10614943,2138.240212,0.527788068,4405.74179,4347.607194,8958.036892,4051.32352,8347.558538,0.580425849,1.195939728,179.0347116,368.8924689,481.5074054,992.1230021,247.9394001,510.8672871,6.599447993,SiClLo
Conventional,CON,1349,52.91560427,-2.605820947,5903.290228,364.4380141,416.0901306,0.149660153,84.78249304,74.57844385,72.44727194,1.260189756,6.968847635,1.371857167,2049.991735,13.9890046,21.26270988,6.080835896,342.1061306,1093.408755,146.9726311,80.35544797,121.9558768,37.89337898,0.072728734,30.56441833,3.173755677,1.837766065,0.086431413,37.81728821,15.81932951,89.876715,6.290226901,14.08256849,19.64455203,59.09273809,2152.95684,0.533106185,4430.323908,4463.603585,9185.139855,4038.514087,8310.396744,0.580734522,1.195027225,181.1372933,372.7417411,481.3072565,990.4272142,247.8591367,510.0409997,6.588995519,SiClLo
Conventional,CON,1350,52.9156041,-2.605768897,5911.831427,368.1185184,414.9676798,0.149534802,84.21460241,74.60386814,72.21263271,1.267218685,6.968404268,1.37039754,2055.144405,13.98641061,21.25135689,6.075123396,342.5069559,1107.907115,148.6150491,80.34050733,121.7564332,37.61573098,0.072745218,30.39202804,3.217446739,1.86297808,0.087663959,38.29530866,15.84157754,89.99284755,6.289522607,14.05190939,19.65949267,59.08915044,2163.758386,0.536996785,4447.813753,4557.104286,9367.566751,4029.369352,8282.756768,0.580427133,1.193123872,182.6805226,375.5174081,481.5065726,989.7831334,247.9390661,509.6626291,6.58153343,SiClLo
Conventional,CON,1351,52.91560393,-2.605716847,5917.49304,370.5835921,414.1778642,0.149483587,83.83496539,74.70168722,72.0098617,1.27193756,6.967669612,1.369414023,2058.589989,13.98211239,21.24435209,6.06565782,342.9064129,1117.602149,149.7176873,80.33128895,121.6119713,37.39807756,0.072772531,30.27675088,3.246662895,1.879837322,0.088486451,38.61413385,15.87374107,90.07127763,6.288355598,14.02251581,19.66871105,59.08693685,2170.981366,0.539676526,4459.458489,4619.87603,9489.78453,4022.745594,8263.20634,0.579917791,1.191221332,183.7124781,377.3676655,481.8368381,989.7511842,248.0715085,509.5689037,6.576128455,SiClLo
Conventional,CON,1365,52.91560151,-2.604988144,5873.09454,399.2936687,414.8828943,0.151359998,82.67318981,81.10822987,71.08001924,1.328158687,6.924204104,1.356481967,2062.622917,13.72781046,22.83255002,5.505632683,347.4326931,1128.949826,162.8546237,82.42137281,122.9803485,38.24802867,0.074388505,30.14182324,3.28085932,1.899570439,0.08319572,38.65099566,17.39941115,92.26395077,6.219310163,13.97340493,17.57862719,59.58882278,2179.435596,0.533457919,4434.547624,5367.744565,10921.87306,4085.48738,8312.834935,0.549782851,1.118655784,184.9203436,376.2616671,501.3767983,1020.162878,255.9073879,520.7006353,6.627325645,SiClLo
Conventional,CON,1366,52.91560134,-2.604936094,5864.728063,395.9423577,415.6305595,0.151624436,83.21022512,81.44661139,71.10097122,1.321630177,6.922677359,1.357815775,2057.661354,13.71887799,22.85103046,5.485961554,347.4691455,1114.989196,161.3291363,82.44569324,123.0809491,38.32258514,0.074445266,30.30781975,3.238788714,1.87529351,0.082066037,38.19454666,17.45483798,92.16205938,6.216884912,13.96379343,17.55430677,59.59466278,2169.034667,0.530313353,4417.724232,5280.900573,10755.73516,4090.100045,8330.403544,0.548724348,1.117599863,183.434351,373.6050832,502.0631479,1022.563893,256.1826266,521.7732175,6.631089571,SiClLo
Conventional,CON,1367,52.91560116,-2.604884043,5859.148208,392.4991099,415.9388023,0.151830816,83.67134687,81.65576485,71.09261654,1.314919463,6.922021712,1.35921888,2053.581563,13.71504202,22.82395469,5.47751396,347.3903945,1103.509659,159.7610742,82.41006126,123.0450801,38.24929324,0.074469642,30.44431524,3.204194927,1.855331096,0.081288765,37.82701581,17.48159701,92.02264604,6.215843409,13.94773966,17.58993874,59.58610657,2160.4822,0.528434821,4404.852294,5191.632852,10584.84809,4088.455405,8335.658664,0.548269783,1.11782796,182.2124501,371.4999036,502.3578948,1024.221503,256.3008255,522.5533814,6.629747548,SiClLo
